@relation LabelledPulsarCandidates
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
0.032260431,957.5907423,0,9586,83.44600918,0.173155974,40.29208129,7.86826041,231.1280814,6.341102127,213.3801759,861.0633731,33.946186,1078.94318,0.070312,9.335489602,0.526644179,18.65379005,319.3148454,0.36185,0.795846926,8.89066498,1
28.0463876,16.60954553,6,8448,71.4189008,0.318926436,52.72732387,3.463230714,774.85796,0.001643675,1661.859375,455.0725188,13.662307,468.427449,0.03125,2.453822775,0.139659522,6.762041134,541.8118997,7.785670598,0.167548886,4.972595721,1
11.29434647,28.66181152,4,4005,37.21151826,0.745202379,87.91671573,30.15389647,910.2492702,13.55174382,937.7360204,227.5505215,14.190647,625.569382,0.21875,7.508984581,0.59791345,138.9998709,108.1137417,1.761261144,0.369143491,4.843557122,1
0.017550567,740.1678996,0,12784,102.8156999,1.74E-08,24.3856324,2.05351736,78.37663702,2.05351736,76.94911134,460.9813275,44.366585,178.07477,0.015625,5.589664306,0.0001742,3.177959301,323.6590757,10.40627815,0.581468232,9.777112677,1
0.016605907,7.06E-08,0,11869,94.36094683,1.36E-10,31.92824131,1.634703109,81.24262881,1.634703109,81.33332401,751.622597,37.679382,149.873274,0.015625,4.74715592,0.452273394,6.001024567,650.2222036,1.193242693,0.440086687,8.68878502,1
0.016961992,553.3867379,0,15262,125.375,0.014086856,1.023241034,2.132466145,1.245441785,2.132466145,0.85149182,562.5647038,493.569611,52.622482,0.015625,62.18392597,0.116911529,4.121333533,405.4074224,4.297285965,0.924107019,13.27549499,1
0.021782124,1777.380268,0,15251,125.375,0.002717999,0.686198779,3.971962881,24.24831503,2.450550914,0.533022717,89.36466713,19263.97266,67.502542,0.03125,3459.911627,0.154870997,0.171781997,122.3879441,8.44245225,0.97678759,13.71764635,1
0.021782124,1777.380268,0,15251,125.375,0.002717999,0.686198779,3.971962881,24.24831503,2.450550914,0.533022717,89.36466713,19263.97266,67.502542,0.03125,3459.911627,0.154870997,0.171781997,122.3879441,8.44245225,0.97678759,13.71764635,1
115.5715572,1.631547602,8,-1335,10.81541464,0.992063804,136.0951696,18.68836088,1971.927835,12.41767685,2052.163435,69.30739068,6.67865,450.187328,0.101562,2.245485477,0.164444366,0.081528163,825.1101104,3.338024313,0.183556685,4.404152465,1
193.0244297,0.726833993,11,3469,26.49500644,0.836641733,97.69025186,1.97102856,1025.014004,48.36904163,1465.212018,577.3406028,6.437065,510.808139,0.015625,0.81099396,1.184490216,5.227359364,4980.681851,17.67578381,0.049124775,4.261404127,1
4.01603022,499.9609207,2,8534,117.4722882,0.054812534,6.503516426,36.55087453,977.0924007,18.52260745,350.7690429,290.108864,288.449921,79.225386,0.328125,201.5792588,1.949751229,0.530906312,1104.031424,0.243885634,0.999512469,13.78311833,1
4.01603022,499.9609207,2,8534,117.4722882,0.054812534,6.503516426,36.55087453,977.0924007,18.52260745,350.7690429,290.108864,288.449921,79.225386,0.328125,201.5792588,1.949751229,0.530906312,1104.031424,0.243885634,0.999512469,13.78311833,1
7.752063327,56.97994988,3,1293,39.87109647,0.97294138,84.11344085,38.46439694,1745.344282,18.20402102,1345.326533,162.505219,29.740818,1011.31881,0.492188,29.27972141,0.282438867,38.13816172,3267.021627,0.338789973,0.794462808,7.316386443,1
0.016723219,293.5540927,0,15576,125.375,0.009592124,2.594255803,2.058389874,0.732921196,2.058389874,0.248599243,388.4866963,1319.406128,297.826506,0.015625,166.2295473,0.04204654,1.523094202,160.9430754,4.454281648,0.959860913,13.61625151,1
0.089488592,530.6193385,1,13151,105.8023206,4.18E-10,19.49002366,1.812168095,82.32709823,1.812168095,75.39550843,842.8068444,40.863876,97.311622,0.015625,5.148364452,0.24543024,2.787404572,360.1871914,31.5,0.309636605,9.114686388,1
