@relation PulsarCandidates_2014-04-29T10:22:29.247214
@attribute Score1 numeric
@attribute Score2 numeric
@attribute Score3 numeric
@attribute Score4 numeric
@attribute Score5 numeric
@attribute Score6 numeric
@attribute Score7 numeric
@attribute Score8 numeric
@attribute Score9 numeric
@attribute Score10 numeric
@attribute Score11 numeric
@attribute Score12 numeric
@attribute Score13 numeric
@attribute Score14 numeric
@attribute Score15 numeric
@attribute Score16 numeric
@attribute Score17 numeric
@attribute Score18 numeric
@attribute Score19 numeric
@attribute Score20 numeric
@attribute Score21 numeric
@attribute Score22 numeric
@attribute class {0,1}
@data
5902.48207928,13390.1774706,1.0,7794.19082741,77.5534768201,4.75389979118e-16,45.8994882287,3522.59180747,979.947728901,2.44551057486,190.829297233,961.552352737,28.7640647697,18.35,0.03,5.05853801689,0.662285548481,0.027205061093,9.23607633984,5.17489805624,0.207376511292,12.5823270335,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NewPulsars/L169692_SAP2_BEAM49_DM18.35_Z0_ACCEL_Cand_1.pfd
2858.06767022,4284.13993736,2.0,1936.00287187,5.14928799561,0.982643164169,88.1101402993,29.2469225888,1369.38362207,29.2469225888,1412.37597675,476.412214069,0.1,6.72825347595,0.11,0.0351561524655,0.402994844602,0.27946029711,4.07460857685,0.348110325844,0.316278486925,9.52694120206,1%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NewPulsars/L196704_SAP0_BEAM20_DM6.63_Z0_ACCEL_Cand_1.pfd
2172.32133419,2006.45514737,4.0,85.7870205867,0.0,1.0,134.45396859,19.5409305885,1950.84546472,32.2995902713,3712.15035215,43.0660759472,0.1,0.875535369342,0.18,0.0468521285666,0.263455604425,0.00495177251921,77.8064372926,0.518386345779,0.179696317556,8.0419667894,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM0.84_Z0_ACCEL_Cand_2.pfd
2247.61853396,1952.86806479,3.0,-708.710045299,36.4285714286,0.545454545454,195.598992499,1027.76706275,3184.07053556,5.22486643447,3031.93521664,43.0671513883,9.82547376793e-15,0.81669512941,0.16,4.28818831241e-15,0.0965393972613,0.254978583715,219.39107425,0.550627010023,-0.00329086344447,5.73326151962,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM0.87_Z0_ACCEL_Cand_2.pfd
1050.76437976,1296.29417801,5.0,19.9714056809,0.0,1.0,112.041736468,36509.7261282,2960.40293441,2.3940396443,2452.43171007,45.6057580746,0.1,102.310659644,0.02,0.0142857142857,1.81745962348,0.141999989379,739.259990931,14.6113287356,-0.00575013539615,5.75838579674,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM102.48_Z0_ACCEL_Cand_2.pfd
926.376987175,1725.01521985,3.0,-77.1314327259,0.0,1.0,106.541980192,1545.80345492,2896.23332565,4.48273874511,2619.11495398,43.4766889976,0.1,103.365156898,0.14,0.0403473292393,0.0033153608157,0.0198423709431,43.5193183912,0.728489734143,0.0298936609702,7.46388780464,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM103.41_Z0_ACCEL_Cand_1.pfd
1160.5954214,941.581784034,7.0,-581.867311612,31.72826079,0.809044946519,133.891544329,35.3166562003,1658.5896313,35.3166562003,1897.44941875,179.985298018,0.1,103.760592893,0.09,0.0314485451017,7.48493103885,0.653698802153,51.8440779797,0.342467444609,0.0304778186074,6.32805167506,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM104.07_Z0_ACCEL_Cand_4.pfd
1972.65333196,2055.47742355,3.0,-562.550598827,33.6383517991,0.409996154364,120.191696196,8.39665286931,1414.82861287,6.99821443783,1489.3019196,34.963894659,8.1667311802e-14,105.201637471,0.1,2.72224372673e-14,1.02415513956,0.0272711552692,168.182921122,0.480117376599,0.0539734211631,5.91116424537,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM105.18_Z0_ACCEL_Cand_2.pfd
1200.13435016,1727.22283001,8.0,3842.0176148,20.782225858,0.941675822647,87.2714206975,5293.87842113,2389.21686524,5293.87842113,2433.36247551,216.368645133,3.58556831731,109.10683508,0.01,0.360363174809,1.130254508,0.328604438571,477.811932538,26.1742763402,0.000615435160579,5.75015119691,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM108.72_Z0_ACCEL_Cand_4.pfd
1683.54967202,1755.62654808,3.0,-356.740020059,36.4285714286,0.499999999999,136.618991066,5.65958518933,1970.4131516,3.56025415316,2162.9376797,32.8232286967,0.1,108.865208172,0.24,0.0561951486949,0.190996759566,0.125177319958,86.8015146182,0.515504179011,0.127637739481,6.7756095441,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM108.96_Z0_ACCEL_Cand_2.pfd
1976.97806442,2627.63581435,2.0,-206.029430581,28.3333333333,0.308641979897,109.884852884,8.36411965654,1535.60886949,3.58782320619,1869.55098277,37.7173340033,2.65898414398e-14,108.936658188,0.06,6.71780581481e-15,1.92898214287,0.0561071069021,428.576075958,0.735360597485,0.0178144918834,6.43071114605,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM108.96_Z0_ACCEL_Cand_5.pfd
1642.22698583,1935.27776865,4.0,-111.932006438,0.0,1.0,143.346044493,83.2515459352,3632.52715038,4.67798108147,3508.2402233,32.8235422197,1.82423520734e-14,109.017084454,0.12,6.73643494704e-15,2.04571349862,0.00498672673487,245.990441595,0.638433469173,-0.0183068236258,6.35154496805,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM108.99_Z0_ACCEL_Cand_1.pfd
1841.67889618,2742.57213558,3.0,196.770532481,42.5,1.0,21.8163538809,83426.8953986,4320.06830973,5.86420674454,3761.6217748,40.6713877594,1.66533453694e-14,11.1816100405,0.02,2.37904933848e-15,0.846562868786,0.051996704634,408.954587586,0.0441941738242,0.0303007284595,8.3039611124,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM11.19_Z0_ACCEL_Cand_2.pfd
2601.23540181,2680.81391107,2.0,-516.137655695,0.0,1.0,126.782236083,12.418672123,2122.73665693,12.418672123,2261.40824594,32.4305091232,1.60982338571e-15,11.9033100899,0.36,1.20736753928e-15,0.361426985892,0.00402346114084,16.332778461,0.3281365612,0.305390717963,7.81542856133,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM11.91_Z0_ACCEL_Cand_1.pfd
878.615525096,968.713232503,10.0,1278.1089158,2.42411678976,0.997629944154,98.0903644602,214.792772404,2617.12242455,0.588780413018,2823.95145693,376.210527175,9.49240686055e-14,111.479714061,0.01,9.54022785267e-15,1.85018258656,0.038609137669,433.594037328,30.4832053179,0.000792868609642,5.59339560212,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM110.82_Z0_ACCEL_Cand_2.pfd
1800.93164028,1817.15429867,4.0,202.354753684,36.4285714286,0.714285714285,102.817156181,57663.0593745,2534.71133748,0.619668955839,2892.60544913,35.7254833478,0.1,114.919947974,0.02,0.0142857142857,0.933074602034,0.104723274636,536.576191013,0.811297186609,-0.00348709611841,5.78778014156,0%/Users/rob/Downloads/ModifiedCodePlusCandidates_bws/NonPulsars/L80011_SAP0_BEAM5_DM115.20_Z0_ACCEL_Cand_3.pfd
